Month,Average Rating,Feedback Count
2024-05,3.69,13
2024-06,4.5,8
2024-07,4,12
2024-08,4,12
2024-09,3.66,38
2024-10,3.89,28
2024-11,4.03,39
2024-12,4.16,25
2025-01,3.51,51
2025-02,3.91,23
2025-03,4.26,58
2025-04,4.7,74
2025-05,4.57,30
